URL,Ridership Numbers,Station,Year,Address,Station Name,Abbreviation,Check,State
https://www.railpassengers.org/site/assets/files/1714/arn.pdf,6730,/site/assets/files/1714/arn.pdf,2020,"277 Nevada St Auburn, CA 95603-4617","Auburn, CA",ARN,a,CA
https://www.railpassengers.org/site/assets/files/1714/arn.pdf,3010,/site/assets/files/1714/arn.pdf,2021,"277 Nevada St Auburn, CA 95603-4617","Auburn, CA",ARN,a,CA
https://www.railpassengers.org/site/assets/files/1714/arn.pdf,5524,/site/assets/files/1714/arn.pdf,2022,"277 Nevada St Auburn, CA 95603-4617","Auburn, CA",ARN,a,CA
https://www.railpassengers.org/site/assets/files/1716/aus.pdf,30745,/site/assets/files/1716/aus.pdf,2016,"250 N Lamar Blvd Austin, TX 78703-4624","Austin, TX",AUS,a,TX
https://www.railpassengers.org/site/assets/files/1716/aus.pdf,34026,/site/assets/files/1716/aus.pdf,2017,"250 N Lamar Blvd Austin, TX 78703-4624","Austin, TX",AUS,a,TX
https://www.railpassengers.org/site/assets/files/1716/aus.pdf,33624,/site/assets/files/1716/aus.pdf,2018,"250 N Lamar Blvd Austin, TX 78703-4624","Austin, TX",AUS,a,TX
https://www.railpassengers.org/site/assets/files/1716/aus.pdf,29525,/site/assets/files/1716/aus.pdf,2019,"250 N Lamar Blvd Austin, TX 78703-4624","Austin, TX",AUS,a,TX
https://www.railpassengers.org/site/assets/files/1716/aus.pdf,18073,/site/assets/files/1716/aus.pdf,2020,"250 N Lamar Blvd Austin, TX 78703-4624","Austin, TX",AUS,a,TX
https://www.railpassengers.org/site/assets/files/1716/aus.pdf,15509,/site/assets/files/1716/aus.pdf,2021,"250 N Lamar Blvd Austin, TX 78703-4624","Austin, TX",AUS,a,TX
https://www.railpassengers.org/site/assets/files/1716/aus.pdf,27508,/site/assets/files/1716/aus.pdf,2022,"250 N Lamar Blvd Austin, TX 78703-4624","Austin, TX",AUS,a,TX
https://www.railpassengers.org/site/assets/files/1720/bwi.pdf,679400,/site/assets/files/1720/bwi.pdf,2016,"7 Amtrak Way BWI Airport, MD 21240","BWI Airport, MD",BWI,b,MD
https://www.railpassengers.org/site/assets/files/1720/bwi.pdf,714700,/site/assets/files/1720/bwi.pdf,2017,"7 Amtrak Way BWI Airport, MD 21240","BWI Airport, MD",BWI,b,MD
https://www.railpassengers.org/site/assets/files/1720/bwi.pdf,748500,/site/assets/files/1720/bwi.pdf,2018,"7 Amtrak Way BWI Airport, MD 21240","BWI Airport, MD",BWI,b,MD
https://www.railpassengers.org/site/assets/files/1720/bwi.pdf,752900,/site/assets/files/1720/bwi.pdf,2019,"7 Amtrak Way BWI Airport, MD 21240","BWI Airport, MD",BWI,b,MD
https://www.railpassengers.org/site/assets/files/1720/bwi.pdf,387800,/site/assets/files/1720/bwi.pdf,2020,"7 Amtrak Way BWI Airport, MD 21240","BWI Airport, MD",BWI,b,MD
https://www.railpassengers.org/site/assets/files/1720/bwi.pdf,261100,/site/assets/files/1720/bwi.pdf,2021,"7 Amtrak Way BWI Airport, MD 21240","BWI Airport, MD",BWI,b,MD
https://www.railpassengers.org/site/assets/files/1720/bwi.pdf,539200,/site/assets/files/1720/bwi.pdf,2022,"7 Amtrak Way BWI Airport, MD 21240","BWI Airport, MD",BWI,b,MD
